33,11,19.1762
33.15,11.05,19.1096
33.3,11.1,19.0421
33.45,11.15,18.9735
33.6,11.2,18.904
33.75,11.25,18.8335
33.9,11.3,18.762
34.05,11.35,18.6896
34.2,11.4,18.6161
34.35,11.45,18.5417
34.5,11.5,18.4663
34.65,11.55,18.3899
34.8,11.6,18.3126
34.95,11.65,18.2342
35.1,11.7,18.1549
35.25,11.75,18.0746
35.4,11.8,17.9933
35.55,11.85,17.9111
35.7,11.9,17.8278
35.85,11.95,17.7436
36,12,17.6584
36.15,12.05,17.5722
36.3,12.1,17.4851
36.45,12.15,17.3969
36.6,12.2,17.3078
36.75,12.25,17.2177
36.9,12.3,17.1266
37.05,12.35,17.0346
37.2,12.4,16.9415
37.35,12.45,16.8475
37.5,12.5,16.7525
37.65,12.55,16.6565
37.8,12.6,16.5596
37.95,12.65,16.4616
38.1,12.7,16.3627
38.25,12.75,16.2628
38.4,12.8,16.1619
38.55,12.85,16.0601
38.7,12.9,15.9572
38.85,12.95,15.8534
39,13,15.7486
39.15,13.05,15.6428
39.3,13.1,15.5361
39.45,13.15,15.4283
39.6,13.2,15.3196
39.75,13.25,15.2099
39.9,13.3,15.0992
40.05,13.35,14.9876
40.2,13.4,14.8749
40.35,13.45,14.7613
40.5,13.5,14.6467
40.65,13.55,14.5311
40.8,13.6,14.4146
40.95,13.65,14.297
41.1,13.7,14.1785
41.25,13.75,14.059
41.4,13.8,13.9385
41.55,13.85,13.8171
41.7,13.9,13.6946
41.85,13.95,13.5712
42,14,13.4468
42.15,14.05,13.3214
42.3,14.1,13.1951
42.45,14.15,13.0677
42.6,14.2,12.9394
42.75,14.25,12.8101
42.9,14.3,12.6798
43.05,14.35,12.5486
43.2,14.4,12.4163
43.35,14.45,12.2831
43.5,14.5,12.1489
43.65,14.55,12.0137
43.8,14.6,11.8776
43.95,14.65,11.7404
44.1,14.7,11.6023
44.25,14.75,11.4632
44.4,14.8,11.3231
44.55,14.85,11.1821
44.7,14.9,11.04
44.85,14.95,10.897
45,15,10.753
45.15,15.05,10.608
45.3,15.1,10.4621
45.45,15.15,10.3151
45.6,15.2,10.1672
45.75,15.25,10.0183
45.9,15.3,9.86842
46.05,15.35,9.71756
46.2,15.4,9.56572
46.35,15.45,9.4129
46.5,15.5,9.2591
46.65,15.55,9.10432
46.8,15.6,8.94856
46.95,15.65,8.79182
47.1,15.7,8.6341
47.25,15.75,8.4754
47.4,15.8,8.31572
47.55,15.85,8.15506
47.7,15.9,7.99342
47.85,15.95,7.8308
48,16,7.6672
48.15,16.05,7.50262
48.3,16.1,7.33706
48.45,16.15,7.17052
48.6,16.2,7.003
